Date,Day,Month,Year,Weekday,Q1,Q2,Q3,Q4,Total Sales,S1,S2,S3,S4,Total Revenue
2010-07-21,21,Jul,2010,Wednesday,3935,2972,5299,1253,13459,12473.95,18842.48,28720.58,8933.89,68970.9
2010-07-22,22,Jul,2010,Thursday,2898,532,4664,1667,9761,9186.66,3372.88,25278.88,11885.71,49724.13
2010-07-23,23,Jul,2010,Friday,7734,1994,2772,271,12771,24516.78,12641.96,15024.24,1932.23,54115.21
2010-07-24,24,Jul,2010,Saturday,3052,3935,4623,1653,13263,9674.84,24947.9,25056.66,11785.89,71465.29000000001
2010-07-25,25,Jul,2010,Sunday,3041,811,1973,526,6351,9639.97,5141.74,10693.66,3750.38,29225.75
2010-07-26,26,Jul,2010,Monday,1387,2539,1890,1073,6889,4396.79,16097.26,10243.8,7650.49,38388.34
2010-07-27,27,Jul,2010,Tuesday,4536,2131,4185,470,11322,14379.12,13510.54,22682.7,3351.1,53923.46
2010-07-28,28,Jul,2010,Wednesday,7659,734,3981,1121,13495,24279.03,4653.56,21577.02,7992.73,58502.34
2010-07-29,29,Jul,2010,Thursday,3144,3855,1856,1873,10728,9966.48,24440.7,10059.52,13354.49,57821.189999999995
2010-07-30,30,Jul,2010,Friday,6361,1773,3443,287,11864,20164.37,11240.82,18661.06,2046.31,52112.56
2010-07-31,31,Jul,2010,Saturday,2733,3985,1341,1428,9487,8663.61,25264.9,7268.22,10181.64,51378.37
2010-01-08,8,Jan,2010,Friday,2062,3659,2194,803,8718,6536.54,23198.06,11891.48,5725.39,47351.47
2010-02-08,8,Feb,2010,Monday,1964,908,1608,1231,5711,6225.88,5756.72,8715.36,8777.03,29474.989999999998
2010-03-08,8,Mar,2010,Monday,3461,3800,3193,1443,11897,10971.37,24092.0,17306.06,10288.59,62658.020000000004
2010-04-08,8,Apr,2010,Thursday,2118,3793,4333,1383,11627,6714.06,24047.62,23484.86,9860.79,64107.33
2010-05-08,8,May,2010,Saturday,6458,3136,566,1135,11295,20471.86,19882.24,3067.72,8092.55,51514.37000000001
2010-06-08,8,Jun,2010,Tuesday,957,256,1505,1442,4160,3033.69,1623.04,8157.1,10281.46,23095.29
2010-07-08,8,Jul,2010,Thursday,3595,3855,4211,1767,13428,11396.15,24440.7,22823.62,12598.71,71259.18
2010-08-08,8,Aug,2010,Sunday,1980,1641,3747,1398,8766,6276.6,10403.94,20308.74,9967.74,46957.02
2010-09-08,8,Sep,2010,Wednesday,3589,3037,4366,724,11716,11377.13,19254.58,23663.72,5162.12,59457.55
2010-10-08,8,Oct,2010,Friday,2661,1125,2235,281,6302,8435.37,7132.5,12113.7,2003.53,29685.1
2010-11-08,8,Nov,2010,Monday,5148,2530,5069,748,13495,16319.16,16040.2,27473.98,5333.24,65166.579999999994
2010-12-08,8,Dec,2010,Wednesday,3272,2734,4940,1137,12083,10372.24,17333.56,26774.8,8106.81,62587.41
2010-08-13,13,Aug,2010,Friday,5704,808,891,994,8397,18081.68,5122.72,4829.22,7087.22,35120.840000000004
2010-08-14,14,Aug,2010,Saturday,3914,2652,920,744,8230,12407.38,16813.68,4986.4,5304.72,39512.18
2010-08-15,15,Aug,2010,Sunday,3094,2510,303,504,6411,9807.98,15913.4,1642.26,3593.52,30957.159999999996
2010-08-16,16,Aug,2010,Monday,4180,3720,1356,781,10037,13250.6,23584.8,7349.52,5568.53,49753.45
2010-08-17,17,Aug,2010,Tuesday,7024,3160,2743,1168,14095,22266.08,20034.4,14867.06,8327.84,65495.380000000005
2010-08-18,18,Aug,2010,Wednesday,5187,490,5874,1456,13007,16442.79,3106.6,31837.08,10381.28,61767.75
2010-08-19,19,Aug,2010,Thursday,570,628,4053,1402,6653,1806.9,3981.52,21967.26,9996.26,37751.94
2010-08-20,20,Aug,2010,Friday,2497,3055,5978,1606,13136,7915.49,19368.7,32400.76,11450.78,71135.73
2010-08-21,21,Aug,2010,Saturday,419,1278,5544,489,7730,1328.23,8102.52,30048.48,3486.57,42965.799999999996
2010-08-22,22,Aug,2010,Sunday,2592,438,3777,1568,8375,8216.64,2776.92,20471.34,11179.84,42644.740000000005
2010-08-23,23,Aug,2010,Monday,7712,1739,3940,1041,14432,24447.04,11025.26,21354.8,7422.33,64249.43000000001
2010-08-24,24,Aug,2010,Tuesday,1076,539,2568,668,4851,3410.92,3417.26,13918.56,4762.84,25509.579999999998
2010-08-25,25,Aug,2010,Wednesday,2668,1272,4365,1846,10151,8457.56,8064.48,23658.3,13161.98,53342.31999999999
2010-08-26,26,Aug,2010,Thursday,1350,2211,1900,602,6063,4279.5,14017.74,10298.0,4292.26,32887.5
2010-08-27,27,Aug,2010,Friday,7841,469,4670,938,13918,24855.97,2973.46,25311.4,6687.94,59828.770000000004
2010-08-28,28,Aug,2010,Saturday,586,3052,4481,1919,10038,1857.62,19349.68,24287.02,13682.47,59176.79
2010-08-29,29,Aug,2010,Sunday,2003,741,4222,1563,8529,6349.51,4697.94,22883.24,11144.19,45074.880000000005
2010-08-31,31,Aug,2010,Tuesday,2564,2772,5371,1819,12526,8127.88,17574.48,29110.82,12969.47,67782.65
2010-01-09,9,Jan,2010,Saturday,3532,2223,5959,519,12233,11196.44,14093.82,32297.78,3700.47,61288.51
2010-02-09,9,Feb,2010,Tuesday,519,2119,1349,614,4601,1645.23,13434.46,7311.58,4377.82,26769.089999999997
2010-03-09,9,Mar,2010,Tuesday,2957,1896,2583,1034,8470,9373.69,12020.64,13999.86,7372.42,42766.61
2010-04-09,9,Apr,2010,Friday,5478,3084,5614,717,14893,17365.26,19552.56,30427.88,5112.21,72457.91
2010-05-09,9,May,2010,Sunday,5010,2834,359,1417,9620,15881.7,17967.56,1945.78,10103.21,45898.25
2010-06-09,9,Jun,2010,Wednesday,3027,2584,4244,1390,11245,9595.59,16382.56,23002.48,9910.7,58891.33
2010-07-09,9,Jul,2010,Friday,867,2795,5645,1641,10948,2748.39,17720.3,30595.9,11700.33,62764.92
2010-08-09,9,Aug,2010,Monday,4198,2352,2762,366,9678,13307.66,14911.68,14970.04,2609.58,45798.96000000001
2010-09-09,9,Sep,2010,Thursday,2107,3004,5320,1756,12187,6679.19,19045.36,28834.4,12520.28,67079.23
2010-10-09,9,Oct,2010,Saturday,3807,575,3085,1498,8965,12068.19,3645.5,16720.7,10680.74,43115.13
2010-11-09,9,Nov,2010,Tuesday,1949,1978,4159,950,9036,6178.33,12540.52,22541.78,6773.5,48034.13
2010-12-09,9,Dec,2010,Thursday,2923,2974,784,976,7657,9265.91,18855.16,4249.28,6958.88,39329.229999999996
2010-09-13,13,Sep,2010,Monday,2111,1739,1049,1535,6434,6691.87,11025.26,5685.58,10944.55,34347.259999999995
2010-09-14,14,Sep,2010,Tuesday,3179,3646,4008,1088,11921,10077.43,23115.64,21723.36,7757.44,62673.87
2010-09-15,15,Sep,2010,Wednesday,6653,255,554,486,7948,21090.01,1616.7,3002.68,3465.18,29174.57
2010-09-16,16,Sep,2010,Thursday,4008,2164,1959,1189,9320,12705.36,13719.76,10617.78,8477.57,45520.47
2010-09-17,17,Sep,2010,Friday,6950,2226,5834,1493,16503,22031.5,14112.84,31620.28,10645.09,78409.70999999999
2010-09-18,18,Sep,2010,Saturday,1284,1287,3272,1777,7620,4070.28,8159.58,17734.24,12670.01,42634.11
2010-09-19,19,Sep,2010,Sunday,949,550,4564,1850,7913,3008.33,3487.0,24736.88,13190.5,44422.71
2010-09-20,20,Sep,2010,Monday,5573,2502,4367,384,12826,17666.41,15862.68,23669.14,2737.92,59936.149999999994
2010-09-21,21,Sep,2010,Tuesday,7043,713,532,1209,9497,22326.31,4520.42,2883.44,8620.17,38350.340000000004
2010-09-22,22,Sep,2010,Wednesday,4505,3078,2148,800,10531,14280.85,19514.52,11642.16,5704.0,51141.53
2010-09-23,23,Sep,2010,Thursday,2073,3807,5311,490,11681,6571.41,24136.38,28785.62,3493.7,62987.11
2010-09-24,24,Sep,2010,Friday,4845,1556,1016,1511,8928,15358.65,9865.04,5506.72,10773.43,41503.840000000004
2010-09-25,25,Sep,2010,Saturday,4094,2181,3800,1805,11880,12977.98,13827.54,20596.0,12869.65,60271.170000000006
2010-09-26,26,Sep,2010,Sunday,3953,1298,3332,1634,10217,12531.01,8229.32,18059.44,11650.42,50470.19
2010-09-27,27,Sep,2010,Monday,2596,1820,760,1253,6429,8229.32,11538.8,4119.2,8933.89,32821.21
2010-09-28,28,Sep,2010,Tuesday,1068,2055,715,1087,4925,3385.56,13028.7,3875.3,7750.31,28039.870000000003
2010-09-29,29,Sep,2010,Wednesday,5110,3370,1228,1871,11579,16198.7,21365.8,6655.76,13340.23,57560.490000000005
2010-09-30,30,Sep,2010,Thursday,7642,3158,414,656,11870,24225.14,20021.72,2243.88,4677.28,51168.02
2010-01-10,10,Jan,2010,Sunday,4430,1942,3211,1751,11334,14043.1,12312.28,17403.62,12484.63,56243.63
2010-02-10,10,Feb,2010,Wednesday,758,1656,2788,1632,6834,2402.86,10499.04,15110.96,11636.16,39649.020000000004
2010-03-10,10,Mar,2010,Wednesday,7257,3804,2304,1282,14647,23004.69,24117.36,12487.68,9140.66,68750.39
2010-04-10,10,Apr,2010,Saturday,4152,2432,3931,542,11057,13161.84,15418.88,21306.02,3864.46,53751.200000000004
2010-05-10,10,May,2010,Monday,2994,910,283,1897,6084,9490.98,5769.4,1533.86,13525.61,30319.85
2010-06-10,10,Jun,2010,Thursday,3527,2557,3183,441,9708,11180.59,16211.38,17251.86,3144.33,47788.16
2010-07-10,10,Jul,2010,Saturday,387,3515,3485,545,7932,1226.79,22285.1,18888.7,3885.85,46286.439999999995
2010-08-10,10,Aug,2010,Tuesday,5205,3146,2376,1708,12435,16499.85,19945.64,12877.92,12178.04,61501.45
2010-09-10,10,Sep,2010,Friday,854,1533,3331,1363,7081,2707.18,9719.22,18054.02,9718.19,40198.61
2010-10-10,10,Oct,2010,Sunday,7329,406,257,1314,9306,23232.93,2574.04,1392.94,9368.82,36568.729999999996
2010-11-10,10,Nov,2010,Wednesday,6253,2602,3013,1255,13123,19822.01,16496.68,16330.46,8948.15,61597.3
2010-12-10,10,Dec,2010,Friday,5431,1654,764,1048,8897,17216.27,10486.36,4140.88,7472.24,39315.75
2010-10-13,13,Oct,2010,Wednesday,5041,2762,3532,438,11773,15979.97,17511.08,19143.44,3122.94,55757.43000000001
2010-10-14,14,Oct,2010,Thursday,7259,2642,3644,1464,15009,23011.03,16750.28,19750.48,10438.32,69950.10999999999
2010-10-15,15,Oct,2010,Friday,3736,3621,5216,724,13297,11843.12,22957.14,28270.72,5162.12,68233.1
2010-10-16,16,Oct,2010,Saturday,6013,1389,4931,365,12698,19061.21,8806.26,26726.02,2602.45,57195.94
2010-10-17,17,Oct,2010,Sunday,2772,1663,475,1941,6851,8787.24,10543.42,2574.5,13839.33,35744.49
2010-10-18,18,Oct,2010,Monday,1723,2129,2859,1682,8393,5461.91,13497.86,15495.78,11992.66,46448.21000000001
2010-10-19,19,Oct,2010,Tuesday,1185,581,2327,1816,5909,3756.45,3683.54,12612.34,12948.08,33000.41
2010-10-20,20,Oct,2010,Wednesday,6476,3436,4327,1567,15806,20528.92,21784.24,23452.34,11172.71,76938.20999999999
2010-10-21,21,Oct,2010,Thursday,3985,1065,703,1285,7038,12632.45,6752.1,3810.26,9162.05,32356.860000000004
2010-10-22,22,Oct,2010,Friday,573,1265,4389,451,6678,1816.41,8020.1,23788.38,3215.63,36840.52
2010-10-23,23,Oct,2010,Saturday,5880,1732,3704,1591,12907,18639.6,10980.88,20075.68,11343.83,61039.99
2010-10-24,24,Oct,2010,Sunday,6149,3407,4939,736,15231,19492.33,21600.38,26769.38,5247.68,73109.77000000002
2010-10-25,25,Oct,2010,Monday,6080,1441,3773,417,11711,19273.6,9135.94,20449.66,2973.21,51832.409999999996
2010-10-26,26,Oct,2010,Tuesday,7940,3131,3323,323,14717,25169.8,19850.54,18010.66,2302.99,65333.99
2010-10-27,27,Oct,2010,Wednesday,828,3871,4768,1071,10538,2624.76,24542.14,25842.56,7636.23,60645.69
2010-10-28,28,Oct,2010,Thursday,5866,1038,2354,624,9882,18595.22,6580.92,12758.68,4449.12,42383.94
2010-10-29,29,Oct,2010,Friday,4721,1229,4707,739,11396,14965.57,7791.86,25511.94,5269.07,53538.439999999995
2010-10-30,30,Oct,2010,Saturday,5506,3452,1307,422,10687,17454.02,21885.68,7083.94,3008.86,49432.5
2010-01-11,11,Jan,2010,Monday,3975,1068,5004,1564,11611,12600.75,6771.12,27121.68,11151.32,57644.87
2010-02-11,11,Feb,2010,Thursday,1498,1525,2722,1276,7021,4748.66,9668.5,14753.24,9097.88,38268.28
2010-03-11,11,Mar,2010,Thursday,6869,3258,4863,337,15327,21774.73,20655.72,26357.46,2402.81,71190.72
2010-04-11,11,Apr,2010,Sunday,6130,3208,1974,1085,12397,19432.1,20338.72,10699.08,7736.05,58205.950000000004
2010-05-11,11,May,2010,Tuesday,7366,3767,3366,355,14854,23350.22,23882.78,18243.72,2531.15,68007.87
2010-06-11,11,Jun,2010,Friday,4671,1956,655,900,8182,14807.07,12401.04,3550.1,6417.0,37175.21
2010-07-11,11,Jul,2010,Sunday,1719,1221,5147,1499,9586,5449.23,7741.14,27896.74,10687.87,51774.98
2010-08-11,11,Aug,2010,Wednesday,4330,3818,697,401,9246,13726.1,24206.12,3777.74,2859.13,44569.09
2010-09-11,11,Sep,2010,Saturday,2633,652,1869,1682,6836,8346.61,4133.68,10129.98,11992.66,34602.93
2010-10-11,11,Oct,2010,Monday,1708,3881,2933,576,9098,5414.36,24605.54,15896.86,4106.88,50023.64
2010-11-11,11,Nov,2010,Thursday,833,352,3143,363,4691,2640.61,2231.68,17035.06,2588.19,24495.54
2010-12-11,11,Dec,2010,Saturday,5185,3088,4103,355,12731,16436.45,19577.92,22238.26,2531.15,60783.77999999999
2010-11-13,13,Nov,2010,Saturday,4865,3951,5405,975,15196,15422.05,25049.34,29295.1,6951.75,76718.23999999999
2010-11-14,14,Nov,2010,Sunday,302,3568,2467,1238,7575,957.34,22621.12,13371.14,8826.94,45776.54
2010-11-15,15,Nov,2010,Monday,7506,3191,438,1481,12616,23794.02,20230.94,2373.96,10559.53,56958.45
2010-11-16,16,Nov,2010,Tuesday,948,3510,3475,1478,9411,3005.16,22253.4,18834.5,10538.14,54631.2
2010-11-17,17,Nov,2010,Wednesday,2047,2179,2797,1064,8087,6488.99,13814.86,15159.74,7586.32,43049.909999999996
2010-11-18,18,Nov,2010,Thursday,3100,2064,1988,712,7864,9827.0,13085.76,10774.96,5076.56,38764.28
2010-11-19,19,Nov,2010,Friday,6094,1287,4889,1795,14065,19317.98,8159.58,26498.38,12798.35,66774.29000000001
2010-11-20,20,Nov,2010,Saturday,3837,1440,3623,518,9418,12163.29,9129.6,19636.66,3693.34,44622.89
2010-11-21,21,Nov,2010,Sunday,7427,2519,831,1182,11959,23543.59,15970.46,4504.02,8427.66,52445.73000000001
2010-11-22,22,Nov,2010,Monday,2324,357,2214,335,5230,7367.08,2263.38,11999.88,2388.55,24018.889999999996
2010-11-23,23,Nov,2010,Tuesday,648,2866,5649,1474,10637,2054.16,18170.44,30617.58,10509.62,61351.8
2010-11-24,24,Nov,2010,Wednesday,2555,3417,3839,1345,11156,8099.35,21663.78,20807.38,9589.85,60160.35999999999
2010-11-25,25,Nov,2010,Thursday,1969,1090,4935,1615,9609,6241.73,6910.6,26747.7,11514.95,51414.979999999996
2010-11-26,26,Nov,2010,Friday,398,976,4694,355,6423,1261.66,6187.84,25441.48,2531.15,35422.13
2010-11-27,27,Nov,2010,Saturday,4036,3114,3744,498,11392,12794.12,19742.76,20292.48,3550.74,56380.1
2010-11-28,28,Nov,2010,Sunday,1804,2575,5852,1478,11709,5718.68,16325.5,31717.84,10538.14,64300.16
2010-11-29,29,Nov,2010,Monday,6997,3913,5577,1827,18314,22180.49,24808.42,30227.34,13026.51,90242.76
2010-11-30,30,Nov,2010,Tuesday,1655,2876,4278,1361,10170,5246.35,18233.84,23186.76,9703.93,56370.88
2010-01-12,12,Jan,2010,Tuesday,1736,911,405,1682,4734,5503.12,5775.74,2195.1,11992.66,25466.620000000003
2010-02-12,12,Feb,2010,Friday,6374,1409,5807,1056,14646,20205.58,8933.06,31473.94,7529.28,68141.86
2010-03-12,12,Mar,2010,Friday,969,2566,716,1478,5729,3071.73,16268.44,3880.72,10538.14,33759.03
2010-04-12,12,Apr,2010,Monday,3556,3903,5729,637,13825,11272.52,24745.02,31051.18,4541.81,71610.53
2010-05-12,12,May,2010,Wednesday,1596,3228,351,1825,7000,5059.32,20465.52,1902.42,13012.25,40439.51
2010-06-12,12,Jun,2010,Saturday,5138,3926,4864,256,14184,16287.46,24890.84,26362.88,1825.28,69366.46
2010-07-12,12,Jul,2010,Monday,6821,2510,3503,597,13431,21622.57,15913.4,18986.26,4256.61,60778.84
2010-08-12,12,Aug,2010,Thursday,5877,1567,4069,636,12149,18630.09,9934.78,22053.98,4534.68,55153.530000000006
2010-09-12,12,Sep,2010,Sunday,5135,1774,1870,652,9431,16277.95,11247.16,10135.4,4648.76,42309.270000000004
2010-10-12,12,Oct,2010,Tuesday,5244,2991,3217,1910,13362,16623.48,18962.94,17436.14,13618.3,66640.86
2010-11-12,12,Nov,2010,Friday,2610,3664,4707,728,11709,8273.7,23229.76,25511.94,5190.64,62206.03999999999
2010-12-12,12,Dec,2010,Sunday,4116,3549,4374,1179,13218,13047.72,22500.66,23707.08,8406.27,67661.73
2010-12-13,13,Dec,2010,Monday,5843,2283,4160,1239,13525,18522.31,14474.22,22547.2,8834.07,64377.799999999996
2010-12-14,14,Dec,2010,Tuesday,5274,978,3655,1788,11695,16718.58,6200.52,19810.1,12748.44,55477.64
2010-12-15,15,Dec,2010,Wednesday,2143,1253,3742,329,7467,6793.31,7944.02,20281.64,2345.77,37364.74
2010-12-16,16,Dec,2010,Thursday,7014,2877,2129,1012,13032,22234.38,18240.18,11539.18,7215.56,59229.299999999996
2010-12-17,17,Dec,2010,Friday,4408,692,3389,434,8923,13973.36,4387.28,18368.38,3094.42,39823.44
2010-12-18,18,Dec,2010,Saturday,5578,2699,2917,960,12154,17682.26,17111.66,15810.14,6844.8,57448.86
2010-12-19,19,Dec,2010,Sunday,5930,1998,3351,268,11547,18798.1,12667.32,18162.42,1910.84,51538.67999999999
2010-12-20,20,Dec,2010,Monday,3619,575,1983,1372,7549,11472.23,3645.5,10747.86,9782.36,35647.95
2010-12-21,21,Dec,2010,Tuesday,575,1261,5039,1056,7931,1822.75,7994.74,27311.38,7529.28,44658.15
2010-12-22,22,Dec,2010,Wednesday,7064,3919,2005,1893,14881,22392.88,24846.46,10867.1,13497.09,71603.53
2010-12-23,23,Dec,2010,Thursday,651,3418,5831,1018,10918,2063.67,21670.12,31604.02,7258.34,62596.149999999994
2010-12-24,24,Dec,2010,Friday,5006,752,4432,706,10896,15869.02,4767.68,24021.44,5033.78,49691.92
2010-12-25,25,Dec,2010,Saturday,374,970,511,1005,2860,1185.58,6149.8,2769.62,7165.65,17270.65
2010-12-26,26,Dec,2010,Sunday,3398,1524,5864,725,11511,10771.66,9662.16,31782.88,5169.25,57385.95
2010-12-27,27,Dec,2010,Monday,7935,1473,5052,1955,16415,25153.95,9338.82,27381.84,13939.15,75813.76
2010-12-28,28,Dec,2010,Tuesday,2801,1773,2744,1810,9128,8879.17,11240.82,14872.48,12905.3,47897.770000000004
2010-12-29,29,Dec,2010,Wednesday,6443,1773,3781,942,12939,20424.31,11240.82,20493.02,6716.46,58874.61
2010-12-30,30,Dec,2010,Thursday,6216,3519,5529,1807,17071,19704.72,22310.46,29967.18,12883.91,84866.27
2011-01-01,1,Jan,2011,Saturday,281,3956,4186,1537,9960,890.77,25081.04,22688.12,10958.81,59618.74
2011-02-01,1,Feb,2011,Tuesday,7665,1350,4266,1789,15070,24298.05,8559.0,23121.72,12755.57,68734.34
2011-03-01,1,Mar,2011,Tuesday,937,3758,4311,314,9320,2970.29,23825.72,23365.62,2238.82,52400.450000000004
2011-04-01,1,Apr,2011,Friday,6378,968,4530,995,12871,20218.26,6137.12,24552.6,7094.35,58002.329999999994
2011-05-01,1,May,2011,Sunday,731,2174,5908,1505,10318,2317.27,13783.16,32021.36,10730.65,58852.44
2011-06-01,1,Jun,2011,Wednesday,2032,3556,349,815,6752,6441.44,22545.04,1891.58,5810.95,36689.009999999995
2011-07-01,1,Jul,2011,Friday,1514,3321,5699,1371,11905,4799.38,21055.14,30888.58,9775.23,66518.33
2011-08-01,1,Aug,2011,Monday,410,865,2384,1502,5161,1299.7,5484.1,12921.28,10709.26,30414.340000000004
2011-09-01,1,Sep,2011,Thursday,489,3673,3283,522,7967,1550.13,23286.82,17793.86,3721.86,46352.67
2011-10-01,1,Oct,2011,Saturday,1326,2810,4408,1535,10079,4203.42,17815.4,23891.36,10944.55,56854.729999999996
2011-11-01,1,Nov,2011,Tuesday,2535,3027,4185,1219,10966,8035.95,19191.18,22682.7,8691.47,58601.3
2011-12-01,1,Dec,2011,Thursday,351,3737,1581,986,6655,1112.67,23692.58,8569.02,7030.18,40404.450000000004
2011-01-13,13,Jan,2011,Thursday,2480,676,5982,475,9613,7861.6,4285.84,32422.44,3386.75,47956.63
2011-01-14,14,Jan,2011,Friday,408,2952,3147,1635,8142,1293.36,18715.68,17056.74,11657.55,48723.33
2011-01-15,15,Jan,2011,Saturday,2428,1279,4992,452,9151,7696.76,8108.86,27056.64,3222.76,46085.02
2011-01-16,16,Jan,2011,Sunday,1593,2972,409,343,5317,5049.81,18842.48,2216.78,2445.59,28554.66
2011-01-17,17,Jan,2011,Monday,5324,1418,3883,687,11312,16877.08,8990.12,21045.86,4898.31,51811.37
2011-01-18,18,Jan,2011,Tuesday,2623,586,385,1651,5245,8314.91,3715.24,2086.7,11771.63,25888.479999999996
2011-01-19,19,Jan,2011,Wednesday,3082,357,4745,1805,9989,9769.94,2263.38,25717.9,12869.65,50620.87
2011-01-20,20,Jan,2011,Thursday,562,3519,1232,864,6177,1781.54,22310.46,6677.44,6160.32,36929.759999999995
2011-01-21,21,Jan,2011,Friday,7642,2224,5279,651,15796,24225.14,14100.16,28612.18,4641.63,71579.11000000002
2011-01-22,22,Jan,2011,Saturday,4351,2127,1694,508,8680,13792.67,13485.18,9181.48,3622.04,40081.37
2011-01-23,23,Jan,2011,Sunday,6487,426,3380,1576,11869,20563.79,2700.84,18319.6,11236.88,52821.10999999999
2011-01-24,24,Jan,2011,Monday,2604,821,586,1567,5578,8254.68,5205.14,3176.12,11172.71,27808.649999999998
2011-01-25,25,Jan,2011,Tuesday,7652,339,1610,377,9978,24256.84,2149.26,8726.2,2688.01,37820.310000000005
2011-01-26,26,Jan,2011,Wednesday,295,762,2728,477,4262,935.15,4831.08,14785.76,3401.01,23953.0
2011-01-27,27,Jan,2011,Thursday,1486,2309,3206,975,7976,4710.62,14639.06,17376.52,6951.75,43677.95
2011-01-28,28,Jan,2011,Friday,2002,1770,709,1363,5844,6346.34,11221.8,3842.78,9718.19,31129.11
